n_number,serial_number,mfr_mdl_code,mfr,model,model_family,is_production_model,year_mfr,type_registrant,state,region,country,last_action_date,cert_issue_date,airworth_date,type_aircraft,type_engine,status_code,fract_owner
330CD,1319,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2005,7,FL,7,US,20230122,20170630,20050223,4,1,V,
330D,9422,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,,7,TX,2,US,20250325,20250325,,4,1,V,
330DP,1417,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2005,7,MT,S,US,20240515,20240515,20050428,4,1,V,
330HC,9223,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2023,7,PA,1,US,20250714,20230712,20230505,4,1,V,
330MJ,0390,2130010,CIRRUS DESIGN CORP,SF50,Vision Jet,1,2022,7,OH,C,US,20230909,20221005,20220929,4,5,V,
330ST,11292,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2026,7,OK,2,US,20260610,20260610,20260327,4,1,V,
330SU,2523,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2019,5,OK,2,US,20230126,20200106,20191125,4,1,V,
330YB,0455,2130010,CIRRUS DESIGN CORP,SF50,Vision Jet,1,2023,7,FL,7,US,20240514,20230712,20230516,4,5,V,
3313H,2041,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2019,7,DE,1,US,20230929,20200115,20191211,4,1,V,
33167,2311,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2021,7,CA,4,US,20260715,20260511,20210426,4,1,V,
331AP,5109,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2021,7,AR,2,US,20230728,20220402,20211124,4,1,V,
331ED,4544,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2017,3,GA,7,US,20230707,20220110,20170829,4,1,V,
331JG,1627,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,,1,MS,2,US,20231204,20231204,20060314,4,1,V,
331KK,1486,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2017,7,AZ,4,US,20260618,20250529,20170125,4,1,V,
331SB,0399,2130010,CIRRUS DESIGN CORP,SF50,Vision Jet,1,2022,7,OH,C,US,20240718,20231107,20221103,4,5,V,
331SM,4630,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2018,7,NY,1,US,20230218,20230218,20180418,4,1,V,
331ST,9770,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2024,3,CA,4,US,20260112,20260112,20240213,4,1,V,
331SW,11298,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2026,7,AZ,4,US,20260620,20260620,20260325,4,1,V,
331TF,10133,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2024,7,DE,1,US,20251231,20241016,20240814,4,1,V,
331WG,11509,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,,8,MN,C,US,20260504,,,4,1,M,
331WP,1718,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,,7,DE,1,US,20250826,20250521,20180510,4,1,V,
331WV,1893,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2019,1,TX,2,US,20240729,20240729,20190401,4,1,V,
331ZM,0491,2130010,CIRRUS DESIGN CORP,SF50,Vision Jet,1,2023,7,MT,S,US,20250430,20231116,20231010,4,5,V,
332AD,10710,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2025,7,VA,1,US,20250711,20250711,20250525,4,1,V,
332CD,0873,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2004,7,AR,2,US,20260401,20260401,20040415,4,1,V,
332DA,3453,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,,7,ID,S,US,20231002,20190619,20090825,4,1,V,
332GT,3332,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2008,7,DE,1,US,20230922,20191205,20191101,4,1,V,
332LM,1332,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2005,1,NY,1,US,20230122,20170630,20050225,4,1,V,
332MB,10002,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2024,7,FL,7,US,20240705,20240705,20240619,4,1,V,
332MM,10749,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2025,3,CA,4,US,20260306,20260306,20250624,4,1,V,
332MR,0395,2130010,CIRRUS DESIGN CORP,SF50,Vision Jet,1,2022,7,AZ,4,US,20260219,20260219,20221021,4,5,V,
332PK,11684,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,,8,MN,C,US,20260811,,,4,1,M,
332RM,1986,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2019,7,MA,E,US,20230922,20191211,20190917,4,1,V,
332TT,3525,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2009,7,WY,S,US,20241126,20241126,20090916,4,1,V,
333AN,0055,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2010,7,CO,S,US,20230428,20210304,20101209,4,1,V,
333AQ,10227,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2024,7,CA,4,US,20241218,20241218,20241003,4,1,V,
333AR,0844,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2004,3,DE,1,US,20230718,20190227,20040401,4,1,V,
333CF,1691,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2017,7,IL,C,US,20230608,20230426,20171108,4,1,V,
333EA,11373,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2026,8,MN,C,US,20260313,,20260430,4,1,M,
333GF,10124,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2024,7,TX,2,US,20250513,20240918,20240729,4,1,V,
333GM,0355,2130010,CIRRUS DESIGN CORP,SF50,Vision Jet,1,2022,7,DE,1,US,20240509,20221129,20220513,4,5,V,
333JR,0592,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2013,1,SC,7,US,20230610,20210916,20130903,4,1,V,
333JT,2196,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2020,4,TX,2,US,20241109,20241109,20201023,4,1,V,
333KQ,9597,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2023,7,MO,3,US,20240111,20240111,20231205,4,1,V,
333LL,4447,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2017,3,NC,1,US,20230603,20210827,20170213,4,1,V,
333LN,2489,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2019,7,MN,C,US,20230909,20191007,20190506,4,1,V,
333LZ,0243,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2011,7,TN,3,US,20230428,20180301,20111202,4,1,V,
333NY,4373,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2016,7,NY,1,US,20230324,20171019,20160726,4,1,V,
333PX,3791,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2011,3,NC,1,US,20230718,20220215,20110921,4,1,V,
333QK,11014,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2025,7,SC,7,US,20260516,20260516,20251031,4,1,V,
333RD,2161,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2020,7,OH,C,US,20241028,20241028,20200814,4,1,V,
