n_number,serial_number,mfr_mdl_code,mfr,model,model_family,is_production_model,year_mfr,type_registrant,state,region,country,last_action_date,cert_issue_date,airworth_date,type_aircraft,type_engine,status_code,fract_owner
10000,10000,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,,7,TN,3,US,20240823,20240823,,4,1,V,
1000V,0660,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,,7,GA,7,US,20250130,20250130,20050527,4,1,V,
100DG,9952,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2024,3,DE,1,US,20240801,20240801,20240528,4,1,V,
100FR,0770,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2003,7,,8,DE,20240904,20240904,20031212,4,1,V,
100JB,10290,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2024,7,SC,7,US,20241121,20241121,20241029,4,1,V,
100JC,1542,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2017,7,FL,7,US,20230122,20170620,20170511,4,1,V,
100MJ,2844,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2007,7,AZ,4,US,20230902,20220930,20071204,4,1,V,
100PK,10294,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2024,3,NY,1,US,20260421,20260421,20241031,4,1,V,
100PX,0953,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2004,7,TX,2,US,20230721,20130319,20040527,4,1,V,
100RZ,0034,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2010,3,VA,1,US,20230818,20190718,20100930,4,1,V,
100TL,0079,2130010,CIRRUS DESIGN CORP,SF50,Vision Jet,1,2018,7,AZ,4,US,20230701,20181218,20181005,4,5,V,
100WM,1268,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,,7,WY,S,US,20260528,20260528,20050112,4,1,V,
100XZ,10040,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2024,7,WI,C,US,20240812,20240812,20240703,4,1,V,
100YW,2215,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2020,7,FL,7,US,20230421,20210227,20201207,4,1,V,
100YY,1183,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2002,3,NV,4,US,20230421,20120216,20020322,4,1,V,
100YZ,0814,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2004,7,FL,7,US,20230407,20141223,20040126,4,1,V,
100ZW,4086,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2014,7,FL,7,US,20230428,20210309,20190813,4,1,V,
1011G,10795,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2025,3,NV,4,US,20250801,20250801,20250713,4,1,V,
1014A,1646,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2017,7,,,,20250205,20250205,20171215,4,1,V,
1019P,1037,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,,7,TX,2,US,20230330,20230330,20000518,4,1,V,
101BE,3759,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2011,7,FL,7,US,20230122,20110618,20110505,4,1,V,
101CD,0101,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2001,3,FL,7,US,20230304,20080625,20011016,4,1,V,
101FK,3027,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2008,3,WY,S,US,20260323,20260205,20080603,4,1,V,
101GW,2528,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2007,7,TX,2,US,20230324,20201009,20070605,4,1,V,
101MR,1732,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2006,7,VA,1,US,20240819,20240819,20061018,4,1,V,
101MW,2823,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2007,7,CO,S,US,20230818,20080208,20071126,4,1,V,
101NS,1588,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2005,1,VT,E,US,20230421,20180205,20051109,4,1,V,
101TP,10479,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2025,7,CA,4,US,20250306,20250306,20250131,4,1,V,
101VM,0109,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2001,1,GA,7,US,20231020,20200414,20011025,4,1,V,
101XM,1226,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2004,1,WI,C,US,20251122,20251122,20041216,4,1,V,
101ZA,10117,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2024,3,DE,1,US,20240823,20240823,20240730,4,1,V,
1023M,0467,2130010,CIRRUS DESIGN CORP,SF50,Vision Jet,1,2023,3,MT,S,US,20260527,20260527,20230626,4,5,V,
102AR,0463,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2013,7,WY,S,US,20260518,20210517,20130227,4,1,V,
102CD,1016,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2000,3,,8,GB,20231007,20200204,20000125,4,1,V,
102CJ,1237,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2002,7,KY,3,US,20230718,20130221,20020911,4,1,V,
102DW,1750,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2006,7,TN,3,US,20230223,20230223,20060104,4,1,V,
102GG,2730,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2021,7,GA,7,US,20230607,20230607,20210719,4,1,V,
102HC,10285,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2024,7,WA,S,US,20250811,20250107,20241026,4,1,V,
102JL,0192,2130010,CIRRUS DESIGN CORP,SF50,Vision Jet,1,2020,7,WV,1,US,20260115,20260115,20200321,4,5,V,
102JS,9919,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2024,1,PA,1,US,20260408,,20240506,4,1,R,
102KW,0755,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2003,1,MD,1,US,20251121,20251121,20031201,4,1,V,
102LT,0288,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2002,7,FL,7,US,20230304,20110701,20020801,4,1,V,
102PB,0321,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,,3,FL,7,US,20230512,20180511,20020828,4,1,V,
102SR,1864,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2006,3,OK,2,US,20230310,20110817,20060322,4,1,V,
102TX,0412,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2012,3,DE,1,US,20241029,20241029,20241105,4,1,V,
102VA,10511,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2025,7,TX,2,US,20250326,20250326,20250308,4,1,V,
103BK,10668,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2025,1,AR,2,US,20250809,20250809,20250620,4,1,V,
103C,0432,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2002,1,FL,7,US,20250924,20221103,20021223,4,1,V,
103DM,0247,2130010,CIRRUS DESIGN CORP,SF50,Vision Jet,1,2021,4,TN,3,US,20230825,20220810,20210202,4,5,V,
103EE,2104,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2006,4,UT,S,US,20240207,20240207,20060824,4,1,V,
103ER,2321,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2016,7,MI,C,US,20230428,20180326,20160404,4,1,V,
103FD,9838,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2024,7,FL,7,US,20251220,20251220,20240327,4,1,V,
103K,10193,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2023,3,,8,AT,20260807,20260807,20240911,4,1,V,
103LC,2281,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2021,3,WA,S,US,20231005,20210528,20210315,4,1,V,
103MK,1444,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2005,3,DE,1,US,20230915,20101102,20050520,4,1,V,
103VA,10788,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2025,7,TX,2,US,20250822,20250822,20250711,4,1,V,
104BZ,1219,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2004,7,CA,4,US,20240218,20050124,20041214,4,1,V,
104ET,1024,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2004,7,OH,C,US,20230915,20050131,20040728,4,1,V,
104GH,4087,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2014,7,FL,7,US,20240502,20240502,20140515,4,1,V,
104KV,2683,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2021,7,CA,4,US,20230519,20210603,20210310,4,1,V,
104SV,11053,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2025,7,NC,1,US,20260112,20260112,20251116,4,1,V,
104TQ,2304,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2006,7,CA,4,US,20230825,20190805,20061223,4,1,V,
10502,10502,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2025,7,NC,1,US,20260109,20260109,20250909,4,1,V,
1052A,1333,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2016,7,DE,1,US,20250302,20250302,20160511,4,1,V,
105CK,4399,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2016,7,CA,4,US,20230915,20161110,20161011,4,1,V,
105GC,11013,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2025,8,MN,C,US,20250909,,20251120,4,1,M,
105HC,4777,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2019,7,LA,2,US,20250117,20250117,20190416,4,1,V,
105KL,4461,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2017,7,WI,C,US,20260318,20210626,20170315,4,1,V,
105LW,9852,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2024,7,SD,C,US,20240508,20240508,20240322,4,1,V,
105MU,2625,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2020,5,WV,1,US,20230414,20210108,20201008,4,1,V,
105PK,9235,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2023,7,NM,2,US,20250904,20250904,20230512,4,1,V,
105TT,1867,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2006,7,TX,2,US,20230122,20170519,20060323,4,1,V,
105WL,2210,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2006,7,IA,3,US,20240216,20240216,20061019,4,1,V,
106CD,1015,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2000,7,FL,7,US,20240520,20240520,20000119,4,1,V,
106EZ,2044,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2006,4,NY,1,US,20240412,20201021,20060720,4,1,V,
106JS,1661,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2018,3,SD,C,US,20230207,20230207,20180105,4,1,V,
106LU,1501,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2005,7,NC,1,US,20241207,20200625,20050309,4,1,V,
106MC,1877,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2019,7,DE,1,US,20250811,20250811,20190219,4,1,V,
106MU,2682,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2021,5,WV,1,US,20230718,20220225,20210318,4,1,V,
106TJ,3592,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2010,7,UT,S,US,20250430,20250430,20100114,4,1,V,
106TQ,2633,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2007,1,NC,1,US,20231013,20200330,20070808,4,1,V,
107AJ,2671,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2007,7,GA,7,US,20250421,20250421,20070904,4,1,V,
107AX,1519,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2017,7,WA,S,US,20230821,20230821,20170403,4,1,V,
107BB,1235,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2016,7,AZ,4,US,20240124,20240124,20160129,4,1,V,
107BC,3057,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,,7,TX,2,US,20251022,20220702,20080626,4,1,V,
107CB,3244,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2008,3,DE,1,US,20230526,20150706,20080904,4,1,V,
107CD,1018,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2000,1,PA,1,US,20240226,20240226,20000207,4,1,V,
107GK,0790,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2014,4,MA,E,US,20251107,20170209,20140530,4,1,V,
107MT,4846,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,,1,TX,2,US,20250218,20250218,20191002,4,1,V,
107MU,2784,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2021,5,WV,1,US,20231013,20220528,20211221,4,1,V,
107MY,1751,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2018,7,NV,4,US,20250306,20190211,20180717,4,1,V,
107PB,2292,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2006,7,NV,4,US,20240415,20240415,20061217,4,1,V,
107TQ,3996,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2013,7,GA,7,US,20260811,20131119,20130913,4,1,V,
1086C,0462,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2003,1,OH,C,US,20230915,20131121,20030326,4,1,V,
108EZ,2037,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2006,7,MI,C,US,20251023,20251023,20060720,4,1,V,
108GP,1317,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2005,7,AL,7,US,20230701,20151219,20050218,4,1,V,
108LC,0535,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2013,7,MA,E,US,20230707,20190115,20130612,4,1,V,
108LW,0872,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2014,7,NC,1,US,20240719,20240719,20140915,4,1,V,
108MG,9431,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2023,7,FL,7,US,20231020,20231020,20230905,4,1,V,
108PJ,0808,2130010,CIRRUS DESIGN CORP,SF50,Vision Jet,1,,8,MN,C,US,20260506,,,4,5,M,
108VV,9909,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2024,7,PA,1,US,20240610,20240610,20240505,4,1,V,
1096W,9053,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2023,1,CA,4,US,20230525,20230517,20230203,4,1,V,
1098R,5010,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2021,1,GA,7,US,20250627,20250627,20210302,4,1,V,
109FT,2025,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2006,7,TX,2,US,20230930,20200128,20060628,4,1,V,
109KC,0665,2130010,CIRRUS DESIGN CORP,SF50,Vision Jet,1,2025,7,OR,S,US,20260122,20250723,20250619,4,5,V,
109MP,11905,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,,8,MN,C,US,20260721,,,4,1,M,
109SD,1857,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2019,1,NY,1,US,20260507,20260507,20190122,4,1,V,
109WK,1400,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2004,7,PA,1,US,20230722,20220309,20040203,4,1,V,
10AC,8782,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2022,7,FL,7,US,20250919,20250617,20220821,4,1,V,
10B,8963,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2022,7,FL,7,US,20260428,20250408,20221229,4,1,V,
10BX,5003,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2021,1,OH,C,US,20230505,20210421,20210202,4,1,V,
10CD,0350,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2012,3,DE,1,US,20230627,20230627,20170117,4,1,V,
10HQ,10243,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2024,7,FL,7,US,20241029,20241029,20241007,4,1,V,
10KK,8975,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2022,7,FL,7,US,20250430,20250430,20221214,4,1,V,
10MC,1084,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2004,3,WY,S,US,20260223,20260223,20040914,4,1,V,
10PX,1453,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2016,7,WA,S,US,20241105,20241105,20210730,4,1,V,
10RA,5069,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2021,7,NC,1,US,20240327,20221217,20210823,4,1,V,
10RD,9300,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2023,7,WY,S,US,20260526,20240109,20230621,4,1,V,
10UA,0188,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2011,7,WA,S,US,20250319,20250319,20110919,4,1,V,
10UW,11054,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2025,4,AZ,4,US,20260109,20260109,20251110,4,1,V,
10VT,9482,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2023,7,GA,7,US,20250505,20250505,20230930,4,1,V,
10Z,2491,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2022,7,GA,7,US,20230811,20220625,20220106,4,1,V,
10ZW,0055,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2001,1,ID,S,US,20230414,20210113,20210420,4,1,V,
11000,11000,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2025,7,VA,1,US,20260127,20260127,20251105,4,1,V,
1105Z,1684,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2018,7,TX,2,US,20230804,20220505,20180212,4,1,V,
1108C,2412,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2021,7,AL,7,US,20260513,20260220,20211015,4,1,V,
1108T,2114,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2011,1,FL,7,US,20240312,20240312,20111004,4,1,V,
110BW,1538,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,,4,FL,7,US,20260227,20260227,20050720,4,1,V,
110DK,10414,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2025,7,CO,S,US,20250412,20250412,20250106,4,1,V,
110FL,2813,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2007,7,OH,C,US,20230122,20140625,20071114,4,1,V,
110GK,4508,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2017,7,MS,2,US,20230707,20220103,20170801,4,1,V,
110MT,10677,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2025,5,TN,3,US,20250707,20250707,20250515,4,1,V,
110MV,1521,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2017,7,MA,E,US,20230122,20170502,20170410,4,1,V,
110MX,0096,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2011,3,WI,C,US,20230122,20170327,20110330,4,1,V,
110TA,2015,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,,7,AZ,4,US,20260414,20260414,20060620,4,1,V,
110VT,2151,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2020,7,PA,1,US,20240112,20240112,20200817,4,1,V,
110WF,2621,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2007,7,WY,S,US,20260518,20220817,20140702,4,1,V,
110WK,2115,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2011,8,MN,C,US,20240613,20240613,20111005,4,1,V,
1110V,10006,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2024,7,KS,3,US,20240709,20240709,20240621,4,1,V,
1118P,11092,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2025,7,GA,7,US,20260203,20260203,20251204,4,1,V,
1119C,0487,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2003,3,ND,C,US,20230428,20180328,20030324,4,1,V,
111AN,0459,2130010,CIRRUS DESIGN CORP,SF50,Vision Jet,1,2023,7,,,,20251007,20251007,20231024,4,5,V,
111CD,8863,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2022,7,MT,S,US,20260519,20230914,20221018,4,1,V,
111DU,3138,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2008,7,DE,1,US,20230428,20180315,20090326,4,1,V,
111ET,3270,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2008,7,CO,S,US,20230825,20130813,20080918,4,1,V,
111HT,0232,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2002,1,,,,20250808,20250808,20020607,4,1,V,
111MH,9070,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2023,3,CA,4,US,20240918,20230510,20230227,4,1,V,
111MU,11397,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2026,8,MN,C,US,20260317,,20260511,4,1,M,
111N,10694,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2025,7,NY,1,US,20250703,20250703,20250608,4,1,V,
111NE,2784,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2007,3,OK,2,US,20230825,20130829,20071031,4,1,V,
111RT,1156,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2001,7,UT,S,US,20251206,20251206,20011109,4,1,V,
111TN,0347,2130010,CIRRUS DESIGN CORP,SF50,Vision Jet,1,2022,7,IN,C,US,20230307,20230307,20220418,4,5,V,
111TT,0830,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2004,7,IL,C,US,20230722,20230722,20040317,4,1,V,
1123X,1214,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,,3,DE,1,US,20241230,20241017,20041212,4,1,V,
1124L,0711,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2014,7,NV,4,US,20251020,20250822,20140211,4,1,V,
1127G,2440,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,,7,CO,S,US,20230722,20220326,,4,1,V,
1127R,1510,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2005,7,MN,C,US,20240207,20240207,20180525,4,1,V,
1128R,2338,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2021,7,CA,4,US,20230308,20230308,20210630,4,1,V,
112CD,11457,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,,3,DE,1,US,20260706,20260706,,4,1,V,
112CK,0445,2130010,CIRRUS DESIGN CORP,SF50,Vision Jet,1,2023,7,LA,2,US,20251104,20251104,20230329,4,5,V,
112FS,9497,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2023,7,CA,4,US,20231214,20231214,20231015,4,1,V,
112LF,1393,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2016,7,NC,1,US,20230408,20230408,20160719,4,1,V,
112LJ,10353,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2024,1,LA,2,US,20250113,20250113,20241201,4,1,V,
112MK,9282,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2023,7,MT,S,US,20260524,20260524,20230612,4,1,V,
112NR,0227,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2011,7,CO,S,US,20230421,20210218,20111201,4,1,V,
112PJ,1540,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2017,7,TX,2,US,20230309,20230309,20170523,4,1,V,
112SK,4821,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2019,3,DE,1,US,20230512,20210512,20190916,4,1,V,
112TD,10470,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2025,7,MT,S,US,20251108,20251108,20250219,4,1,V,
112TR,3669,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2010,1,CA,4,US,20230125,20230125,20100627,4,1,V,
112WG,9785,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2024,7,CA,4,US,20250314,20240425,20240210,4,1,V,
113BB,2722,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2021,7,CA,4,US,20260112,20260112,20210602,4,1,V,
113DS,4977,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2020,7,TN,3,US,20231107,20231107,20201124,4,1,V,
113ED,4620,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2018,7,TN,3,US,20230717,20230717,20180320,4,1,V,
113GS,0934,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2004,7,KY,3,US,20230603,20210805,20040519,4,1,V,
113HS,0484,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2013,7,MO,3,US,20230317,20170927,20130329,4,1,V,
113JV,0283,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2012,7,OK,2,US,20230421,20120215,20120123,4,1,V,
113KK,4724,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2018,7,NH,E,US,20241212,20190118,20181119,4,1,V,
113MR,0070,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2010,3,CA,4,US,20241002,20241002,20101229,4,1,V,
113WG,1496,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2017,7,IN,C,US,20230616,20211022,20170208,4,1,V,
1144G,2592,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2020,7,TX,2,US,20230317,20200930,20200729,4,1,V,
1149C,0464,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2003,1,PA,1,US,20231020,20060518,20030305,4,1,V,
114BS,1192,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2002,7,WA,S,US,20230728,20081103,20020427,4,1,V,
114CA,11535,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,,8,MN,C,US,20260612,,,4,1,M,
114CN,3805,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,,7,DE,1,US,20230607,20230607,20111020,4,1,V,
114DA,8969,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2022,7,OH,C,US,20260116,20260116,20221206,4,1,V,
114DB,2330,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2021,7,WY,S,US,20230610,20210901,20210608,4,1,V,
114DE,1381,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2016,7,DE,1,US,20230930,20200124,20160629,4,1,V,
114LL,0726,2130010,CIRRUS DESIGN CORP,SF50,Vision Jet,1,2026,7,FL,7,US,20260506,20260130,20260112,4,5,V,
114LM,0520,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2013,7,DE,1,US,20241108,20201007,20180924,4,1,V,
114ML,0739,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2003,3,FL,7,US,20231013,20170313,20031115,4,1,V,
114RG,1991,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2019,7,MT,S,US,20251010,20251010,20190923,4,1,V,
114RJ,10773,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2025,7,CA,4,US,20250902,20250902,20250702,4,1,V,
114WG,8512,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2022,7,CA,4,US,20241123,20241123,20220207,4,1,V,
11532,11532,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,,8,MN,C,US,20260611,,,4,1,M,
1154Z,1747,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2005,1,,,,20230421,20210210,20060104,4,1,V,
1158C,0776,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2003,1,MA,E,US,20230701,20151212,20031215,4,1,V,
115AP,8565,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2022,7,NY,1,US,20260718,20260718,20220317,4,1,V,
115AV,9250,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2023,7,OH,C,US,20260603,20260114,20230521,4,1,V,
115C,1279,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2005,7,MI,C,US,20250520,20080724,20050121,4,1,V,
115CD,2862,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2007,7,AR,2,US,20230122,20170628,20071213,4,1,V,
115CN,3806,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,,7,FL,7,US,20240307,20221231,20111021,4,1,V,
115DJ,1037,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2004,7,OH,C,US,20230915,20221129,20040805,4,1,V,
115ES,1951,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2019,7,TX,2,US,20240530,20240530,20190722,4,1,V,
115JB,11004,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2025,7,TX,2,US,20251218,20251218,20251020,4,1,V,
